budget,production,country_kaggle,director,genre_kaggle,gross,name,rating,released,runtime,score_imdb,star_kaggle,votes_imdb,writer_kaggle,year,genres_omdb,writers_omdb,actors_omdb,plot,language_omdb,country_omdb,awards,poster,score_metacritic,type
0.0,Miramax,USA,Tim Robbins,Comedy,4479470.0,Bob Roberts,R,1992-09-04,102,7.0,Tim Robbins,12074,Tim Robbins,1992,,,,,,,,,,
0.0,New Line Cinema,USA,Joan Micklin Silver,Comedy,271327.0,Big Girls Don't Cry... They Get Even,PG,1992-05-08,96,6.5,Griffin Dunne,1493,Frank Mugavero,1992,,,,,,,,,,
5000000.0,A&M; Films,USA,Keith Gordon,Drama,1526697.0,A Midnight Clear,R,1992-04-24,108,7.2,Peter Berg,7365,William Wharton,1992,,,,,,,,,,
0.0,Cinemabrain,Japan,Ry� Murakami,Drama,277813.0,Tokyo Decadence,NC-17,1993-04-30,135,6.1,Miho Nikaido,2276,Ry� Murakami,1992,,,,,,,,,,
29000000.0,American Zoetrope,USA,Carroll Ballard,Action,5519569.0,Wind,PG-13,1992-09-11,126,6.5,Matthew Modine,2123,Jeff Benjamin,1992,,,,,,,,,,
18000000.0,Orion Pictures,USA,Jonathan Kaplan,Drama,1949148.0,Love Field,PG-13,1993-02-12,105,6.7,Michelle Pfeiffer,3099,Don Roos,1992,,,,,,,,,,
0.0,Morgan Creek Productions,USA,Roger Donaldson,Action,9011574.0,White Sands,R,1992-04-24,101,6.0,Willem Dafoe,5881,Daniel Pyne,1992,,,,,,,,,,
0.0,Channel Four Films,Ireland,Mike Newell,Adventure,4790801.0,Into the West,PG,1993-09-17,100,7.0,Gabriel Byrne,2324,Jim Sheridan,1992,,,,,,,,,,
40000000.0,DENTSU Music And Entertainment,USA,Fred Schepisi,Comedy,20883046.0,Mr. Baseball,PG-13,1992-10-02,108,5.9,Tom Selleck,8610,Theo Pelletier,1992,,,,,,,,,,
0.0,Cineville,USA,Allison Anders,Drama,1345236.0,"Gas, Food Lodging",R,1992-07-10,101,6.7,Brooke Adams,2888,Richard Peck,1992,,,,,,,,,,
0.0,Sigma Film Productions,Netherlands,Roeland Kerbosch,Drama,386329.0,For a Lost Soldier,UNRATED,1993-05-07,92,7.6,Maarten Smit,3840,Don Bloch,1992,,,,,,,,,,
20000000.0,Penta Films,USA,Irwin Winkler,Comedy,6202756.0,Night and the City,R,1992-10-23,105,5.8,Robert De Niro,3900,Gerald Kersh,1992,,,,,,,,,,
0.0,Hollywood Pictures,USA,Barnet Kellman,Comedy,21202099.0,Straight Talk,PG,1992-04-03,91,5.7,Dolly Parton,2885,Craig Bolotin,1992,,,,,,,,,,
0.0,Ixtlan,USA,Anthony Drazan,Drama,1468300.0,Zebrahead,R,1992-10-23,100,6.3,Michael Rapaport,1044,Anthony Drazan,1992,,,,,,,,,,
10000000.0,British Screen Productions,UK,Stephen Gyllenhaal,Drama,1034287.0,Waterland,R,1992-10-30,95,6.7,Jeremy Irons,1855,Graham Swift,1992,,,,,,,,,,
0.0,Green Umbrella Ltd.,USA,Gillies MacKinnon,Drama,4906900.0,The Playboys,PG-13,1992-04-22,117,6.4,Albert Finney,973,Shane Connaughton,1992,,,,,,,,,,
0.0,Twentieth Century Fox Film Corporation,USA,Nora Ephron,Drama,2922094.0,This Is My Life,PG-13,1992-02-21,100,6.0,Julie Kavner,929,Meg Wolitzer,1992,,,,,,,,,,
5000000.0,Carolco Pictures,USA,Paul Schrader,Crime,1050861.0,Light Sleeper,R,1992-03-13,103,6.9,Willem Dafoe,3999,Paul Schrader,1992,,,,,,,,,,
0.0,Cineplex Odeon Films,Germany,Carl Schenkel,Crime,923418.0,Juego a muerte,R,1993-01-22,108,6.1,Christopher Lambert,6433,Brad Mirman,1992,,,,,,,,,,
0.0,Hyperion Pictures,USA,Bruce W. Smith,Animation,8442162.0,B�b�'s Kids,PG-13,1992-07-31,70,5.5,Faizon Love,3387,Robin Harris,1992,,,,,,,,,,
0.0,Gruskoff/Levy Company,USA,Norman Ren�,Comedy,20006730.0,Prelude to a Kiss,PG-13,1992-07-10,105,5.6,Meg Ryan,6849,Craig Lucas,1992,,,,,,,,,,
0.0,Alliance Films Corporation,Canada,Jean-Claude Lauzon,Comedy,610488.0,L�olo,NOT RATED,1993-04-02,107,7.6,Maxime Collin,5950,Jean-Claude Lauzon,1992,,,,,,,,,,
0.0,Ascot Film,Germany,Eugene Levy,Comedy,8669847.0,Once Upon a Crime...,PG,1992-03-06,94,5.8,John Candy,3150,Rodolfo Sonego,1992,,,,,,,,,,
0.0,Meir Teper,USA,Barry Primus,Comedy,1102469.0,Mistress,R,1992-07-24,110,5.5,Robert Wuhl,1766,Barry Primus,1992,,,,,,,,,,
43000000.0,Castle Rock Entertainment,USA,Billy Crystal,Comedy,13351357.0,Mr. Saturday Night,R,1992-09-25,119,5.8,Billy Crystal,3990,Billy Crystal,1992,,,,,,,,,,
30000000.0,Penta Entertainment,USA,Bob Rafelson,Comedy,4096030.0,Man Trouble,PG-13,1992-07-17,100,4.6,Jack Nicholson,2557,Carole Eastman,1992,,,,,,,,,,
10000000.0,Avenue Pictures,USA,Martin Bell,Crime,384048.0,American Heart,R,1993-05-07,113,6.8,Jeff Bridges,2634,Peter Silverman,1992,,,,,,,,,,
2700000.0,No Frills Film Production,USA,Neal Jimenez,Drama,1723319.0,The Waterdance,R,1992-05-13,106,6.9,Eric Stoltz,2369,Neal Jimenez,1992,,,,,,,,,,
0.0,Carolco Pictures,UK,John Glen,Action,2517600.0,Aces: Iron Eagle III,R,1992-06-12,98,3.5,Louis Gossett Jr.,2424,Kevin Alyn Elders,1992,,,,,,,,,,
0.0,Sovereign Pictures,UK,Lizzie Borden,Romance,2387928.0,Love Crimes,R,1992-01-24,90,4.1,Sean Young,745,Allan Moyle,1992,,,,,,,,,,
0.0,Penta Pictures,USA,Ted Kotcheff,Comedy,6132924.0,Folks!,PG-13,1992-05-01,107,5.5,Tom Selleck,2147,Robert Klane,1992,,,,,,,,,,
3330000.0,Atchafalaya,USA,John Sayles,Drama,5414619.0,Passion Fish,R,1992-12-11,135,7.5,Mary McDonnell,4448,John Sayles,1992,,,,,,,,,,
0.0,Alliance Communications Corporation,USA,Alexandre Rockwell,Comedy,256249.0,In the Soup,R,1992-08-13,93,7.1,Steve Buscemi,2047,Sollace Mitchell,1992,,,,,,,,,,
