name,awards,oscar_wins_and_nominations,other_wins,other_nominations,total_awards_and_nominations
Birdman or (The Unexpected Virtue of Ignorance),Won 4 Oscars. Another 189 wins & 291 nominations.,4,189,291,484
Black Sea,,0,0,0,0
Beyond the Lights,Nominated for 1 Oscar. Another 4 wins & 25 nominations.,1,4,25,30
The Hundred-Foot Journey,2 wins & 4 nominations.,0,2,4,6
The Legend of Hercules,1 win & 7 nominations.,0,1,7,8
The Monuments Men,3 wins & 3 nominations.,0,3,3,6
The Homesman,5 wins & 14 nominations.,0,5,14,19
The Other Woman,3 wins & 5 nominations,0,3,5,8
The Maze Runner,4 wins & 12 nominations.,0,4,12,16
Boyhood,Won 1 Oscar. Another 172 wins & 218 nominations.,1,172,218,391
The Lego Movie,Nominated for 1 Oscar. Another 72 wins & 66 nominations.,1,72,66,139
The Hobbit: The Battle of the Five Armies,Nominated for 1 Oscar. Another 8 wins & 54 nominations.,1,8,54,63
The Last Five Years,1 win & 1 nomination.,0,1,1,2
La salvaci�n,,0,0,0,0
The One I Love,2 wins & 2 nominations.,0,2,2,4
Big Eyes,Won 1 Golden Globe. Another 2 wins & 18 nominations.,0,3,18,21
Kingsman: The Secret Service,10 wins & 32 nominations.,0,10,32,42
Big Game,1 win & 8 nominations.,0,1,8,9
The Imitation Game,Won 1 Oscar. Another 48 wins & 162 nominations.,1,48,162,211
Big Hero 6,Won 1 Oscar. Another 16 wins & 58 nominations.,1,16,58,75
Blended,1 win & 10 nominations,0,1,10,11
The Interview,1 win & 6 nominations.,0,1,6,7
'71,Nominated for 1 BAFTA Film Award. Another 13 wins & 30 nominations.,0,13,31,44
Still Alice,Won 1 Oscar. 34 wins & 35 nominations total,1,34,35,70
Laggies,1 win & 1 nomination,0,1,1,2
El penthouse,,0,0,0,0
Exodus: Gods and Kings,5 nominations.,0,0,5,5
Ex Machina,Won 1 Oscar. Another 72 wins & 161 nominations.,1,72,161,234
Promesa de Vida,,0,0,0,0
Goodnight Mommy,22 wins & 36 nominations.,0,22,36,58
Million Dollar Arm,1 win & 2 nominations.,0,1,2,3
Escobar,1 nomination.,0,0,1,1
Entrevista con unos vampiros,,0,0,0,0
Enredos en Broadway,,0,0,0,0
Endless Love,1 win.,0,1,0,1
Relatos salvajes,,0,0,0,0
"Men, Women & Children",,0,0,0,0
El recuerdo de Marnie,,0,0,0,0
El payaso del mal,,0,0,0,0
The Grand Budapest Hotel,Won 4 Oscars. Another 130 wins & 226 nominations.,4,130,226,360
El dador de recuerdos,,0,0,0,0
Ride Along,1 win & 7 nominations.,0,1,7,8
Rio 2,2 wins & 24 nominations.,0,2,24,26
Edge of Tomorrow,11 wins & 38 nominations.,0,11,38,49
Earth to Echo,2 wins & 1 nomination.,0,2,1,3
Guardians of the Galaxy,Nominated for 2 Oscars. Another 52 wins & 100 nominations.,2,52,100,154
Dumb and Dumber To,1 win & 7 nominations,0,1,7,8
Rudderless,1 win & 1 nomination.,0,1,1,2
Sabotage,2 wins & 5 nominations,0,2,5,7
Saving Christmas,,0,0,0,0
Good Kill,1 nomination.,0,0,1,1
Predestination,12 wins & 19 nominations,0,12,19,31
Gone Girl,Nominated for 1 Oscar. Another 64 wins & 187 nominations.,1,64,187,252
Pompeya,2 wins & 1 nomination.,0,2,1,3
Muppets Most Wanted,3 wins & 11 nominations.,0,3,11,14
Mr. Peabody & Sherman,2 wins & 16 nominations.,0,2,16,18
Fury,5 wins & 24 nominations.,0,5,24,29
Need for Speed,1 win & 5 nominations.,0,1,5,6
Neighbors,7 wins & 11 nominations.,0,7,11,18
Fuerza mayor,,0,0,0,0
Night at the Museum: Secret of the Tomb,1 win & 4 nominations.,0,1,4,5
Nightcrawler,Nominated for 1 Oscar. Another 42 wins & 123 nominations.,1,42,123,166
No Good Deed,2 wins & 2 nominations,0,2,2,4
Noah,1 win & 19 nominations.,0,1,19,20
Non-Stop,1 nomination.,0,0,1,1
Frank,13 wins & 18 nominations.,0,13,18,31
Foxcatcher,Nominated for 5 Oscars. 13 wins & 81 nominations total,5,13,81,99
Fortaleza prohibida,,0,0,0,0
Ouija,1 win.,0,1,0,1
Paddington,Nominated for 1 BAFTA Film Award. Another 3 wins & 6 nominations.,0,3,7,10
God's Not Dead,1 win.,0,1,0,1
God's Pocket,1 nomination,0,0,1,1
Moms' Night Out,1 win.,0,1,0,1
Pawn Sacrifice,1 win & 1 nomination,0,1,1,2
Mommy,54 wins & 66 nominations.,0,54,66,120
Penguins of Madagascar,8 nominations,0,0,8,8
Draft Day,1 nomination.,0,0,1,1
Dracula Untold,3 wins & 5 nominations,0,3,5,8
Selma,Won 1 Oscar. Another 57 wins & 91 nominations.,1,57,91,149
The Amazing Spider-Man 2,4 wins & 30 nominations.,0,4,30,34
The Bag Man,,0,0,0,0
The Best of Me,,0,0,0,0
