name,year,budget,gross,adjusted_budget,adjusted_gross
Pan,2015,150000000,35088320,163792682,38314733
El transportador recargado,2015,25000000,16027866,27298780,17501648
Paper Towns,2015,12000000,32000304,13103415,34942771
Fifty Shades of Grey,2015,40000000,166167230,43678048,181446508
Everest,2015,55000000,43482270,60057317,47480517
El principito,2015,81200000,1339152,88666438,1462289
Pitch Perfect 2,2015,29000000,184296230,31666585,201242491
Remember,2015,0,637555,0,696179
Paranormal Activity: The Ghost Dimension,2015,10000000,18300124,10919512,19982843
Un hombre gru��n,2015,0,3358518,0,3667338
Kill Me Three Times,2014,0,23840,0,26063
The Imitation Game,2014,14000000,91125683,15305463,99622910
The Interview,2014,44000000,6105175,48102883,6674466
Kill the Messenger,2014,5000000,2450846,5466237,2679381
Kingsman: The Secret Service,2014,81000000,128261724,88553034,140221787
Serena,2014,30000000,176305,32797420,192745
Selma,2014,20000000,52076908,21864947,56932941
The Hunger Games: Mockingjay - Part 1,2014,125000000,337135885,136655916,368572906
The Gambler,2014,25000000,33631221,27331183,36767243
Las nubes de Mar�a,2014,0,1811138,0,1980022
Laggies,2014,5000000,440338,5466237,481398
Relatos salvajes,2014,3300000,3107072,3607716,3396798
La salvaci�n,2014,0,5000,0,5466
The Grand Budapest Hotel,2014,25000000,59100318,27331183,64611265
Divergent,2014,85000000,150947895,92926023,165023383
The Guest,2014,5000000,322600,5466237,352682
Sex Tape,2014,40000000,38543473,43729893,42137549
Seventh Son,2014,95000000,17223265,103858496,18829288
Honeymoon,2014,1000000,9168,1093247,10023
El penthouse,2014,14000000,5981749,15305463,6539531
The Hobbit: The Battle of the Five Armies,2014,250000000,255119788,273311833,278909027
Boyhood,2014,4000000,25379975,4372989,27746590
Horrible Bosses 2,2014,42000000,54445357,45916388,59522241
El payaso del mal,2014,1500000,55007,1639871,60136
The Homesman,2014,16000000,2428883,17491957,2655370
El dador de recuerdos,2014,25000000,45089048,27331183,49293481
The Hundred-Foot Journey,2014,22000000,54240821,24051441,59298633
How to Train Your Dragon 2,2014,145000000,177002924,158520863,193507974
Paddington,2014,55000000,76223578,60128603,83331223
The Judge,2014,50000000,47119388,54662367,51513145
Jack Ryan: Shadow Recruit,2014,60000000,50577412,65594840,55293621
It Follows,2014,2000000,14673301,2186495,16041547
Beyond the Lights,2014,7000000,14618727,7652731,15981884
Rudderless,2014,5000000,37440,5466237,40931
The Maze Runner,2014,34000000,102427862,37170409,111978987
In Order of Disappearance,2014,0,49284,0,53880
Into the Woods,2014,50000000,128002372,54662367,139938251
Ride Along,2014,25000000,134938200,27331183,147520827
The Monuments Men,2014,70000000,78031620,76527313,85307860
Into the Storm,2014,50000000,47602194,54662367,52040972
Rio 2,2014,103000000,131538435,112604475,143804043
The November Man,2014,15000000,24984868,16398710,27314640
Interstellar,2014,165000000,188020017,180385810,205552382
The One I Love,2014,100000,511635,109325,559344
Dumb and Dumber To,2014,35000000,86208010,38263657,94246677
The Other Woman,2014,40000000,83911193,43729893,91735688
Before We Go,2014,0,37047,0,40502
Before I Go to Sleep,2014,22000000,2963012,24051441,3239305
Big Eyes,2014,10000000,14479776,10932473,15829976
Big Game,2014,0,16909,0,18486
Just Before I Go,2014,0,8129,0,8887
Edge of Tomorrow,2014,178000000,100206256,194598025,109550222
The Keeping Room,2014,0,27166,0,29699
Blended,2014,40000000,46294610,43729893,50611459
H�ctor y el secreto de la felicidad,2014,0,1121961,0,1226581
Saving Christmas,2014,500000,2783970,546624,3043568
The Last Five Years,2014,0,137945,0,150808
Dracula Untold,2014,70000000,56280355,76527313,61528348
Draft Day,2014,25000000,28831145,27331183,31519572
El recuerdo de Marnie,2014,0,765127,0,836473
I Origins,2014,0,334658,0,365864
The Legend of Hercules,2014,70000000,18848538,76527313,20606114
The Lego Movie,2014,60000000,257760692,65594840,281796188
